Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
性格,Informational,210,"0.65,0.65,0.81,0.81,0.81,0.81,0.65,0.65,1.00,0.81,0.81,0.81",29,0.00,0.33,"AI Overview, Image pack, Video, People also ask"
검사 연구소,Navigational,210,"0.66,1.00,0.53,0.34,0.53,0.44,0.81,0.53,0.66,0.81,0.81,1.00",16,0.00,0.01,"Sitelinks, Video, Related searches"
기안 mbti,Informational,210,"0.66,0.53,0.53,0.53,0.44,1.00,0.81,0.44,0.66,0.66,0.44,0.22",26,0.00,0.33,"AI Overview, Video, People also ask, Related searches"
노무현 mbti,Informational,210,"0.65,0.65,0.65,0.65,0.54,0.65,0.54,0.65,1.00,0.65,1.00,0.81",19,0.00,0.33,"AI Overview, Image pack, Video, People also ask, Related searches"
더글로리 mbti 테스트,Informational,210,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00",15,3.05,0.00,"Reviews, Video"
문재인 mbti,Informational,210,"0.81,0.81,0.52,0.81,0.67,0.52,0.67,0.67,0.81,0.81,1.00,0.81",17,0.00,0.33,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
성격 심리 테스트,Informational,210,"1.00,1.00,0.81,0.66,0.44,0.53,0.44,0.44,0.44,0.34,0.34,0.44",18,0.15,0.03,"Video, Video carousel, Related searches"
유형 검사,Informational,210,"0.67,0.67,0.54,0.36,0.54,0.44,0.44,0.44,0.67,1.00,0.82,0.54",15,0.15,0.03,"Image pack, Video, Related searches"
이재용 mbti,Informational,210,"0.44,0.44,0.44,1.00,1.00,0.54,0.54,0.44,0.67,0.54,0.82,0.82",23,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
이효리 mbti,Informational,210,"1.00,0.36,0.29,0.29,0.29,0.24,0.19,0.19,0.24,0.29,0.36,0.44",21,0.00,0.33,"AI Overview, Image, Image pack, Video, People also ask, Related searches"
종합 심리 검사 무료,Informational,210,"1.00,1.00,0.81,1.00,0.81,1.00,1.00,0.81,1.00,1.00,0.81,1.00",14,4.70,0.16,"AI Overview, Video, People also ask, Related searches"
해리포터 기숙사 mbti,Informational,210,"0.28,0.44,0.28,0.44,0.67,1.00,0.54,0.67,0.54,0.54,0.54,0.36",24,0.00,0.33,"Image pack, Video, Related searches"
16 퍼스널리티,Navigational,170,"0.67,0.67,1.00,0.67,0.52,0.81,0.67,0.67,1.00,1.00,0.67,0.81",30,0.11,0.09,"Sitelinks, Reviews, Video, Related searches"
anime mbti,Informational,170,"0.65,0.65,0.54,0.81,0.54,0.65,1.00,0.65,0.54,0.65,0.65,0.54",27,0.00,0.33,"Sitelinks, Image, Image pack, Video, Video carousel, People also ask, Related searches"
idrlabs 테스트,"Navigational, Transactional",170,"0.29,0.24,0.24,0.19,0.36,0.29,0.24,0.24,0.19,0.24,0.19,1.00",31,0.00,0.01,Related searches
